pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
EUR/CHF,193,51.29533678756477,-1.1633160621761662,-224.5200000000001,-1346.8100000000002,-0.02880068167022108,-0.12951238902921308,-0.18192955783447992,loss_streak_3_14d,REV
EUR/GBP,187,51.87165775401069,5.420534759358289,1013.64,-1974.5200000000002,0.12170761088863107,0.5544718656010503,0.7596320075709686,loss_streak_3_14d,REV
EUR/JPY,188,55.85106382978723,5.314787234042551,999.1799999999995,-2932.6600000000003,0.11963969767409538,0.5396733607944878,0.6552473728822266,loss_streak_3_14d,REV
GBP/AUD,177,51.41242937853108,-0.22909604519773955,-40.5499999999999,-3104.2699999999995,-0.0050131022522929905,-0.024571222103058416,-0.03276330446590879,loss_streak_3_14d,REV
GBP/CAD,199,56.28140703517588,4.386532663316583,872.9200000000001,-1515.35,0.14295711600265432,0.6744440007769334,0.9046976205351336,loss_streak_3_14d,REV
GBP/JPY,183,48.63387978142077,-10.80907103825136,-1978.059999999999,-3124.6100000000006,-0.26320848201311237,-1.168590842948456,-1.3661482296603047,loss_streak_3_14d,REV
Gold/Oil,176,53.40909090909091,6.720511363636365,1182.8100000000002,-2552.560000000001,0.09698569515302836,0.4493884376952119,0.5861088907243106,loss_streak_3_14d,REV
Gold/Silver,187,44.919786096256686,-19.437593582887697,-3634.8299999999995,-7916.02,-0.25340983329966965,-1.1416837327696037,-1.3978224267028558,loss_streak_3_14d,REV
NZD/CAD,186,48.38709677419355,-3.7813978494623677,-703.3400000000004,-2255.48,-0.12122880478389414,-0.5620404945656214,-0.7260953096526817,loss_streak_3_14d,REV
Oil/Silver,160,47.5,-17.506750000000004,-2801.0800000000004,-10675.6,-0.12596408917703292,-0.6023786050315301,-0.7866187957777874,loss_streak_3_14d,REV
SPX/CAC,103,44.66019417475729,-85.95970873786405,-8853.849999999997,-9462.799999999997,-0.6469421179756624,-3.5794711302616227,-3.619495978602432,loss_streak_3_14d,REV
SPX/DAX,116,45.689655172413794,-61.8716379310345,-7177.1100000000015,-10058.359999999999,-0.5298203299409501,-2.894815348935204,-3.10344876570054,loss_streak_3_14d,REV
SPX/Dow,163,49.079754601226995,25.63533742331288,4178.5599999999995,-2046.1099999999988,0.5274316199104754,2.509645715600055,3.4769188335824324,loss_streak_3_14d,REV
SPX/FTSE,187,57.21925133689839,29.07294117647059,5436.64,-2888.2799999999997,0.47494409592456593,2.080052471432272,2.1912561024697785,loss_streak_3_14d,REV
SPX/HK,101,46.53465346534654,-66.85356435643564,-6752.21,-8540.77,-0.4594037628812905,-2.53020328384436,-2.683303644840072,loss_streak_3_14d,REV
SPX/Nas,166,51.204819277108435,0.8223493975903645,136.5100000000005,-7377.509999999999,0.007968034919929702,0.03786785660306321,0.051198392594006575,loss_streak_3_14d,REV
SPX/Nikkei,185,49.72972972972973,19.148216216216213,3542.419999999999,-3206.63,0.21969754584921253,1.0133354590021824,1.3478900103797098,loss_streak_3_14d,REV
